geo,id,mask,millis,BLUE,COASTAL,GREEN,NDVI,NIR,RED,SWIR1,SWIR2,total_pixels,masked_pixels,unmasked_pixels,total_area,masked_area,unmasked_area,tile,fkey,Timestamp,day
,1_T45RTJ_20221118T045101,1.0,1668747061000,0.047478215223097114,0.044632545931758534,0.0688740157480315,0.4881862548723293,0.2511803149606299,0.08671627296587928,0.23555643044619426,0.14776325459317588,5,0,5,1079.757936006434,0.0,1079.757936006434,20221118T045101,435,2022-11-18 04:51:01,2022-11-18
,1_T44RRP_20221121T050121,1.0,1669006881000,0.040191076115485565,0.033262204724409446,0.06306666666666667,0.4918674254856526,0.23815196850393702,0.08130787401574803,0.2209170603674541,0.1364782152230971,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221121T050121,435,2022-11-21 05:01:21,2022-11-21
,1_T45RTJ_20221121T050121,1.0,1669006881000,0.044664829396325455,0.034595538057742785,0.06973884514435695,0.469059571779139,0.2522005249343832,0.09145879265091864,0.2413608923884515,0.15306010498687664,5,0,5,1079.757936006434,0.0,1079.757936006434,20221121T050121,435,2022-11-21 05:01:21,2022-11-21
,1_T44RRP_20221123T045119,1.0,1669179079000,0.03962178477690289,0.031174015748031494,0.06782388451443569,0.4397607290620404,0.24647690288713908,0.09603438320209974,0.24235433070866141,0.15416509186351707,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221123T045119,435,2022-11-23 04:51:19,2022-11-23
,1_T45RTJ_20221123T045119,1.0,1669179079000,0.044436745406824144,0.03293490813648294,0.07411811023622047,0.4246952970479455,0.25656482939632547,0.10361391076115488,0.2594217847769029,0.16832467191601053,5,0,5,1079.757936006434,0.0,1079.757936006434,20221123T045119,435,2022-11-23 04:51:19,2022-11-23
,1_T44RRP_20221126T050129,1.0,1669438889000,0.042942257217847765,0.03336430446194226,0.06818818897637796,0.4210090055335143,0.23587349081364833,0.0961435695538058,0.2556955380577428,0.15760472440944884,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221126T050129,435,2022-11-26 05:01:29,2022-11-26
,1_T45RTJ_20221126T050129,1.0,1669438889000,0.04541286089238846,0.033448818897637796,0.07101732283464567,0.42032700129470474,0.24300472440944884,0.09921469816272965,0.26505196850393703,0.16705800524934383,5,0,5,1079.757936006434,0.0,1079.757936006434,20221126T050129,435,2022-11-26 05:01:29,2022-11-26
,2_T44RRP_20221127T044918,0.0,1669524558000,,,,,,,,,4,4,0,1090.6892989813111,1090.6892989813111,0.0,20221127T044918,435,2022-11-27 04:49:18,2022-11-27
,2_T45RTJ_20221127T044918,0.0,1669524558000,,,,,,,,,5,5,0,1079.757936006434,1079.757936006434,0.0,20221127T044918,435,2022-11-27 04:49:18,2022-11-27
,1_T44RRP_20221128T045131,1.0,1669611091000,0.04650209973753282,0.040781889763779534,0.07034356955380577,0.4207435065909827,0.23548950131233595,0.09602178477690287,0.2645162729658793,0.17279081364829396,4,0,4,1090.6892989813111,0.0,1090.6892989813111,20221128T045131,435,2022-11-28 04:51:31,2022-11-28
,1_T45RTJ_20221128T045131,1.0,1669611091000,0.04594304461942258,0.04043385826771654,0.07010262467191601,0.4247816167977886,0.2391173228346457,0.09654461942257218,0.2697624671916011,0.18035669291338585,5,0,5,1079.757936006434,0.0,1079.757936006434,20221128T045131,435,2022-11-28 04:51:31,2022-11-28
